Small Intestine,Mesenteric Lymph Nodes,Spleen,Whole Blood
Klf15,Abca1,Cxcl5,Cxcr6
Tle1,Acsl1,Zbtb16,Ptpn22
,Adam23,,Crispld2
,Adam8,,
,Adam9,,
,Adarb1,,
,Adgrg1,,
,Adipoq,,
,Adora1,,
,Agt,,
,Aldh1a2,,
,Aoc3,,
,Asb2,,
,Bcl2a1b,,
,Bcl2a1d,,
,Bcl3,,
,Bnip3,,
,Bysl,,
,Cat,,
,Cav1,,
,Ccdc88b,,
,Ccl22,,
,Ccr10,,
,Cd2,,
,Cd247,,
,Cd36,,
,Cd3g,,
,Cd5,,
,Cd6,,
,Cd96,,
,Cdo1,,
,Cish,,
,Cldn15,,
,Clec4e,,
,Clock,,
,Cnn2,,
,Col5a3,,
,Dab2ip,,
,Dapk1,,
,Dgat1,,
,Dst,,
,Ebi3,,
,Egfr,,
,Ehd2,,
,Fabp4,,
,Fermt2,,
,Fgfrl1,,
,Flt3,,
,Fnip1,,
,Furin,,
,Fzd4,,
,Ghr,,
,Gpd1,,
,Gpnmb,,
,Gsk3b,,
,Gsn,,
,Hist1h2bk,,
,Hp,,
,Icam1,,
,Igfbp2,,
,Ighg3,,
,Il17rc,,
,Insr,,
,Irs2,,
,Itgae,,
,Itln1,,
,Izumo1r,,
,Klf4,,
,Lcp2,,
,Lep,,
,Lims2,,
,Lpl,,
,Maob,,
,Map4k3,,
,Mgll,,
,Mmp28,,
,Mpdz,,
,Mst1r,,
,Mtor,,
,Mtus1,,
,Ncan,,
,Nfkbib,,
,Nrp1,,
,Oxtr,,
,P2rx2,,
,Pard3,,
,Pde3b,,
,Pdgfra,,
,Peli2,,
,Pkp2,,
,Plxna1,,
,Plxna2,,
,Pm20d1,,
,Podnl1,,
,Pon3,,
,Ppara,,
,Pparg,,
,Prkar2b,,
,Prkce,,
,Prlr,,
,Prr5,,
,Ptprd,,
,Ptprg,,
,Pycard,,
,Relb,,
,Scd1,,
,Sema3g,,
,Sema5a,,
,Serpina3c,,
,Serpinb9,,
,Skap1,,
,Smoc1,,
,Smpd3,,
,Sorbs1,,
,Tcim,,
,Timp4,,
,Tle1,,
,Tmem173,,
,Tnfrsf10b,,
,Tnfrsf17,,
,Tnfrsf25,,
,Tnfrsf9,,
,Trarg1,,
,Trpv1,,
,Tshr,,
,Ubash3b,,
,Ube2l6,,
,Vcl,,
,Vrk2,,
,Xdh,,
,Zbtb16,,
